property_number,venue_name,venue_address,space_type,website,lat,lon,location,geolocation
101221,The Elephant and Wheelbarrow,"94-96 Bourke Street, Melbourne, 3000",Hotel,https://bourkest.elephantandwheelbarrow.com.au/,-37.812003038513254,144.97032587079298,POINT (144.970325870793 -37.812003038513),"-37.812003038513254, 144.97032587079298"
508983,Roxanne Bar,"Level 2-3, 2 Coverlid Place, Melbourne, 3000",Venue,https://www.facebook.com/roxannebarmelbourne/,-37.812290077617654,144.96856088051632,POINT (144.968560880516 -37.812290077618),"-37.812290077617654, 144.96856088051632"
109416,Melbourne Town Hall,"90-130 Swanston Street, Melbourne, 3000",Performance space,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/Pages/melbourne-town-hall-rooms-for-hire.aspx,-37.814912543799636,144.9664536170434,POINT (144.966453617043 -37.8149125438),"-37.814912543799636, 144.9664536170434"
575210,Eau de Vie,"Rear, 88 Flinders Street, Melbourne, 3000",Bar,,-37.81602795476901,144.97181318906033,POINT (144.97181318906 -37.816027954769),"-37.81602795476901, 144.97181318906033"
544022,Polepole Bar,"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000",Bar,http://www.polepolebar.com.au/,-37.81471253447779,144.96556243961416,POINT (144.965562439614 -37.814712534478),"-37.81471253447779, 144.96556243961416"
574265,GoGo Bar,"Basement, 125 Flinders Lane, Melbourne, 3000",Bar,https://www.chinchinrestaurant.com.au/melbourne/gogo-bar/,-37.81553872471665,144.97036036207516,POINT (144.970360362075 -37.815538724717),"-37.81553872471665, 144.97036036207516"
588906,Horse Bazaar,"Ground, 397 Little Lonsdale Street, Melbourne, 3000",Bar,http://www.horsebazaar.com.au/,-37.81181776178239,144.96018541434393,POINT (144.960185414344 -37.811817761782),"-37.81181776178239, 144.96018541434393"
519135,Trapt Bar and Escape Rooms,"Unit 1, 377 Lonsdale Street, Melbourne, 3000",,,-37.81267565867737,144.96140750009823,POINT (144.961407500098 -37.812675658677),"-37.81267565867737, 144.96140750009823"
678337,Good Heavens,"Level 2, 79 Bourke Street, Melbourne, 3000",Bar,http://www.goodheavens.com.au/,-37.81207864874162,144.97105279643523,POINT (144.971052796435 -37.812078648742),"-37.81207864874162, 144.97105279643523"
664076,Berlin Bar,"Level 1, 16-20 Corrs Lane, Melbourne, 3000",Bar,http://www.berlinbar.com.au/,-37.811157037789194,144.96837654729146,POINT (144.968376547291 -37.811157037789),"-37.811157037789194, 144.96837654729146"
513483,The Mill House Bar,"Unit 1, Basement, 277 Flinders Lane, Melbourne, 3000",Bar,http://themillhouse.com.au/,-37.81703740632109,144.96524327382468,POINT (144.965243273825 -37.817037406321),"-37.81703740632109, 144.96524327382468"
102064,Harley House,"71 Collins Street, Melbourne, 3000",Bar,https://harleyhouse.com.au/,-37.81424168617854,144.97130100975428,POINT (144.971301009754 -37.814241686179),"-37.81424168617854, 144.97130100975428"
567671,The Butterfly Club,"Level 1-3, 256 Collins Street, Melbourne, 3000",,,-37.81569096024321,144.96536899928205,POINT (144.965368999282 -37.815690960243),"-37.81569096024321, 144.96536899928205"
105490,RMIT University,"100-186 La Trobe Street, Melbourne, 3000",Gallery,https://www.rmit.edu.au/events/contact/venue-enquiries,-37.809097098049996,144.96503629766326,POINT (144.965036297663 -37.80909709805),"-37.809097098049996, 144.96503629766326"
513870,All Nations Backpackers Bar/Ubar,"8 Spencer Street, Melbourne, 3000",,,-37.820719517066344,144.95509884823858,POINT (144.955098848239 -37.820719517066),"-37.820719517066344, 144.95509884823858"
503039,Spaghetti Tree Restaurant,"Ground, 59-63 Bourke Street, Melbourne, 3000",Bar,http://www.spaghettitree.com.au/,-37.8119532178998,144.97148245909204,POINT (144.971482459092 -37.8119532179),"-37.8119532178998, 144.97148245909204"
681851,The Irish Times Pub,"Gnd & Flr1, 427 Little Collins Street, Melbourne, 3000",Bar,http://theirishtimespub.com.au/,-37.81619295477831,144.960463460251,POINT (144.960463460251 -37.816192954778),"-37.81619295477831, 144.960463460251"
102153,Assembly Hall,"156 Collins Street, Melbourne, 3000",Performance space,http://www.hallsforhire.com.au/halls/the-assembly-hall,-37.8148247935781,144.96831819904696,POINT (144.968318199047 -37.814824793578),"-37.8148247935781, 144.96831819904696"
575245,Ferdydurke,"Level 1-2, 239 Lonsdale Street, Melbourne, 3000",Bar,http://www.ferdydurke.com.au/,-37.811527225540964,144.96535317015017,POINT (144.96535317015 -37.811527225541),"-37.811527225540964, 144.96535317015017"
